item,itemLabel,position,positionLabel,start,psid
Q101427308,Matar Bâ,Q109927761,Minister of Sports,2014-07-06,Q101427308-2001953B-D4DD-480D-A0B3-04AA3671C404
Q101437800,Antoine Félix Abdoulaye Diome,Q98730157,Minister of the Interior of Senegal,2020-11-01,Q101437800-521a70a4-4407-5c67-4e77-0ee28d393e6f
Q101852737,Malick Sall,Q109927216,Minister of Justice of Senegal,2019-04-01,Q101852737-C08F68C5-81CB-46B9-A884-E89A37FE1011
Q102230968,Moussa Baldé,Q72245534,Minister of Agriculture of Senegal,2019-04-01,Q102230968-4583ba6a-4423-eaa8-0a42-69bd7d7e7acc
Q106648177,Amadou Hott,Q109927539,"Minister of Economy, Planning, and Cooperation",2020-11-01,Q106648177-D9776ACB-FAD0-4EAA-8433-4DED14066F9F
Q108572690,Mamadou Talla,Q109927612,Minister of National Education,2019-04-01,Q108572690-AE494E58-D72C-46D7-9909-52057A7E608C
Q109773220,Ndèye Saly Diop Dieng,Q109927561,"Minister of Women, Family, Gender and Child Protection",2020-11-01,Q109773220-F8E18E3E-2C98-499B-AD28-9C30E20A08DA
Q109927566,Oumar Sarr,Q109927567,Minister of Mines and Geology,2020-11-01,Q109927566-61B09D8D-DD06-446A-8902-DB2DAB91D5F7
Q109927637,Cheikh Oumar Anne,Q109927638,"Minister of Higher Education, Research and Innovation",2020-11-01,Q109927637-18804338-4F2C-4A8D-9D6E-07BBE51ABA65
Q109927648,Sophie Gladima,Q109927649,Minister of Petroleum and Energy,2020-11-01,Q109927648-2B72D287-0C06-43BE-ADFE-4FF084B79C2A
Q109927666,Samba Ndiobène Ka,Q109927668,Minister of Community Development of Social and Territorial Equity,2020-11-01,Q109927666-7252105B-806D-4B29-8702-EA85D69BD295
Q109927689,Moustapha Diop,Q109927690,Minister of Industrial Development and PMI,2020-11-01,Q109927689-D433721F-855B-4A0E-A4A4-EA4AB27E493C
Q109927704,Alioune Ndoye,Q109927706,Minister of Fisheries and Maritime Economy,2020-11-01,Q109927704-DAB4790A-1918-463C-B4B2-D3A3A14BC9D2
Q109927728,Samba Sy,Q109927730,Minister of Labour,2020-11-01,Q109927728-24751AAC-845C-488E-BF95-640BDC7BFA92
Q109927743,Abdou Karim Sall,Q109927745,Minister of Environment and Sustainable Development,2020-11-01,Q109927743-4E5C6DA6-9CE4-4D42-B17F-8256172FC3CF
Q109927854,Aminata Assome Diatta,Q109927856,Minister of Trade and SMEs,2020-11-01,Q109927854-28A4CCC9-8AA2-4149-BA48-3CB66C573183
Q109927871,Aly Saleh Diop,Q109927872,Minister of Livestock and Animal Production,2020-11-01,Q109927871-C3250CB4-BD3F-4C79-BB8B-23B5028CB597
Q109927885,Néné Fatoumata Tall,Q109927886,Minister of Youth,2020-11-01,Q109927885-4FC3AE7E-0EDC-49E4-ABB2-83C3D87EE954
Q109927914,Dame Diop,Q109927916,Minister of Employment and Vocational Training,2020-11-01,Q109927914-8DA827E4-0EE2-4C1A-87FB-86555010B375
Q109928006,Papa Amadou Ndiaye,Q109928007,Minister of Handicrafts and Transformation of the Informal Sector,2020-11-01,Q109928006-EFDC477E-9A04-423F-ACBD-16B41C2A602B
Q109928014,Yankhoba Diattara,Q109928015,Minister of Digital Economy and Telecommunications,2020-11-01,Q109928014-2BC8C096-E24B-41AB-B2C0-1FB2FEDF0062
Q15542603,Aissata Tall Sall,Q5468295,Foreign Minister of Senegal,2020-11-01,Q15542603-897A21F1-9A46-4798-AFCA-882C251F8750
Q16020954,Alioune Sarr,Q109927596,Minister of Tourism and Air Transport,2019-04-01,Q16020954-9C5B02DB-C179-4D42-9AAD-0B542D18F7A2
Q17320405,Mahammed Dionne,Q530785,Prime Minister of Senegal,2014-07-06,Q17320405-393b8b82-42b1-2247-6699-ab4793d5a671
Q17351641,Oumar Guèye,Q109927602,Minister of Territorial Communities,2020-11-01,Q17351641-11CE681B-8089-4B9E-A3B9-C95FB3C5DBA5
Q19895564,Sidiki Kaba,Q109927221,Minister for the Armed Forces,2019-04-05,Q19895564-81D1877E-3377-434B-B1D7-B2DBCA6D7A22
Q2821369,Abdoulaye Diop,Q109927870,Minister of Culture and Communication,2020-11-01,Q2821369-903BCC03-5F3D-43D0-AEC3-AA93B58F5A20
Q2821389,Abdoulaye Sow,Q109927840,Minister of Town Planning and Public Hygiene,2020-11-01,Q2821389-A959F228-47F2-43E5-AB88-3CBD1051904F
Q32857369,Mansour Faye,Q109927497,Minister of Infrastructure,2020-11-01,Q32857369-C7ED35C4-550F-45A9-BE4C-7756DA0BCE37
Q3291195,Mariama Sarr,Q109927549,Minister of Civil Service,2017-09-07,Q3291195-452999F9-D93E-43EB-A7BB-88B923EC4F95
Q3479801,Serigne Mbaye Thiam,Q109927590,Minister of Water and Sanitation,2020-11-01,Q3479801-9B400795-2F71-49F3-9C6A-D58D2C0E366C
Q59209748,Abdoulaye Diouf Sarr,Q98731063,Minister of Health of Senegal,2017-09-07,Q59209748-B14391E1-6575-4334-ABFF-10B53D04A80E
Q88347417,Zahra Iyane Thiam,Q109927893,Minister of Microfinance and Solidarity Economy,2019-04-01,Q88347417-CFAAE239-95CF-42E6-9DD9-B0167EC89D2F
Q98730700,Abdoulaye Daouda Diallo,Q109927232,Minister for Finance and the Budget,2020-11-01,Q98730700-E91B5B70-C475-4F9B-ABC2-8316B4CC617A
