ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q16639711,Q16639711,,,,,,,,,,,,,Q3112281,Q3112281,Q17351636,Q17351636
,Q3111936,Q3111936,,,,,,,,,,,,,Q3112312,Q3112312,Q3112142,Q3112142
,Q3112142,Q3112142,,,,,,,,,,,,,Q3111936,Q3111936,Q3112143,Q3112143
,Q3112143,Q3112143,,,,,,,,,,,,,Q3112142,Q3112142,Q3112438,First Sall Cabinet
,Q3112241,Q3112241,,,,,,,,,,,,,Q3112487,Q3112487,Q3112312,Q3112312
,Q3112281,Q3112281,,,,,,,,,,,,,Q3112310,Q3112310,Q16639711,Q16639711
,Q3112310,Q3112310,,,,,,,,,,,,,Q3112474,Q3112474,Q3112281,Q3112281
,Q3112311,Q3112311,,,,,,,,,,,,,,,,
,Q3112312,Q3112312,,,,,,,,,,,,,Q3112241,Q3112241,Q3111936,Q3111936
,Q3112437,Q3112437,,,,,,,,,,,,,Q3112438,First Sall Cabinet,Q3112474,Q3112474
,Q3112474,Q3112474,,,,,,,,,,,,,Q3112437,Q3112437,Q3112310,Q3112310
,Q3112484,Q3112484,,,,,,,,,,,,,,,Q3112487,Q3112487
,Q3112487,Q3112487,,,,,,,,,,,,,Q3112484,Q3112484,Q3112241,Q3112241
,Q3112438,First Sall Cabinet,2004-04-21,11,,,2006-11-23,11,,,,,Q3112437,Q3112437,Q3112143,Q3112143,Q3112437,Q3112437
,Q17351636,Q17351636,,,2014-07-06,11,,,,,,,,,Q16639711,Q16639711,Q64707010,2nd Dionne Cabinet
,Q64707010,2nd Dionne Cabinet,2017-09-06,11,,,2019-04-05,11,,,,,,,Q17351636,Q17351636,Q64705674,3rd Dionne Cabinet
,Q64705674,3rd Dionne Cabinet,2019-04-07,11,,,2019-05-14,11,,,,,,,Q64707010,2nd Dionne Cabinet,,
,Q109037626,Fourth Sall Cabinet,2020-11-01,11,,,,,,,,,,,,,,
